"Pays","France","Zone euro à 19","Royaume-Uni","États-Unis","Japon"
2008,4.234325,4.356,4.590725,3.666667,1.467333
2009,3.648817,4.028792,3.647517,3.256667,1.33375
2010,3.117017,3.781917,3.624425,3.214167,1.148333
2011,3.321058,4.311008,3.135992,2.785833,1.102417
2012,2.535992,3.04785,1.918042,1.8025,0.8355833
2013,2.20435,3.011842,2.389783,2.350833,0.6896667
2014,1.666442,2.281667,2.569083,2.540833,0.5203333
2015,0.8418583,1.269233,1.901033,2.135833,0.35
2016,0.4678833,0.9294167,1.305208,1.841667,-0.06625
2017,0.8098583,1.170442,1.235808,2.33,0.05166667
2018,0.7841083,1.264733,1.460658,2.91,0.065
2019,0.1302,0.58445,0.935825,2.144167,-0.1104167
2020,-0.1452667,0.2132417,0.3744417,0.8941666,-0.005416667
2021,0.007366667,0.1998833,0.7876083,1.4425,0.07166667
2022,1.700833,2.041433,2.447292,2.951667,0.2316667
